# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 19467 b,Confirmed,52.0,4.3,4.3,,,,,,,,,,51.1,1.0,1.0,,,,,,,,2016,2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.829166673,-13.761666691,7.0,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680.0,40.0,40.0,,,
HD 195019 b,Confirmed,,,,3.7,0.3,0.3,,,,18.20163,0.0004,0.0004,0.1388,0.008,0.008,0.014,0.0044,0.0044,,,,0.003715,1998,2006-11-24,322.0,20.0,20.0,11015.0,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 195019,307.0708333,18.77,6.91,,,,,37.36,1.2,1.2,0.08,0.04,0.04,1.06,,,1.38,,,G3 IV-V,5.33,,,5787.0,31.0,31.0,,,
HD 195689 b,Confirmed,2.88,0.35,0.35,,,,1.84,0.04,0.04,1.4811235,1.1e-06,1.1e-06,0.03368,0.00078,0.00078,,,,87.2,0.4,0.4,,2017,2021-12-23,,,,,,,,,,2458683.4449,8e-05,8e-05,2457095.18572,0.00014,0.00014,272.0,15.0,15.0,,,,,,,293.0,32.0,32.0,3921.0,180.0,180.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,KELT-9 b,"Ca, Cr, Fe, Fe+, FeH, H, H2, K, Mg, O, Sc, Sr, Ti, Ti+, TiO, VO, Y",HD 195689,307.859808384,39.9388262453,7.56,,,,,,,,,,,,,,,,,A0,,,,10170.0,,,,,KELT-9
HD 196050 b,Confirmed,,,,2.83,,,,,,1316.24,,,2.47,,,0.21,,,,,,0.052665,2002,2010-12-21,223.0,,,51033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 196050,309.4625,-60.6344444,7.5,,,,,46.9,,,0.23,,,1.17,,,1.29,,,G3 V,3.17,,,5874.0,,,,,
HD 196067 b,Confirmed,,,,6.9,1.1,3.9,,,,3638.0,232.0,185.0,5.02,0.19,0.19,0.66,0.09,0.18,,,,,2011,2019-06-13,148.2,7.8,7.8,2453375.0,225.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 196067,310.4333333,-75.3508333,6.02,,,,,44.3,4.0,4.0,,,,,,,,,,G0V,,,,,,,,,
HD 196885 A b,Confirmed,,,,2.98,0.05,0.05,,,,1326.0,3.7,3.7,2.6,0.1,0.1,0.48,0.02,0.02,,,,0.078788,2007,2012-12-11,93.2,3.0,3.0,11902.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 196885 A,309.9625,11.2494444,6.4,,,,,33.0,1.0,1.0,0.29,0.05,0.05,1.33,,,1.79,0.17,0.17,F8V,2.0,0.5,0.5,6340.0,39.0,39.0,,,
HD 197037 A b,Confirmed,,,,0.79,0.05,0.05,,,,1035.7,13.0,13.0,2.07,0.05,0.05,0.22,0.07,0.07,,,,0.062727,2012,2019-12-13,298.0,26.0,26.0,2451353.1,86.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 197037 b,,HD 197037 A,309.8875,42.2486111,6.81,,,,,33.0,,,-0.2,0.06,0.06,1.11,,,,,,F7V,1.9,,,6150.0,100.0,100.0,,,HD 197037
HD 19994 A b,Confirmed,,,,1.37,0.12,0.12,,,,466.2,1.7,1.7,1.305,0.016,0.016,0.063,0.062,0.062,,,,0.06345,2003,2021-04-13,346.0,55.0,55.0,2453757.0,72.0,72.0,,,,,,,,,,,,,,,,,,,29.3,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"94 Cet b, HD 19994 b, 94 Cet A b",,HD 19994 A,48.1916667,-1.1958333,5.07,,,,,22.38,,,0.25,,,1.34,,,1.93,0.067,0.067,F8 V,8.91,,,5984.0,,,IR Excess,,"94 Cet, HD 19994, 94 Cet A"
HD 20003 b,Confirmed,,,,0.0378,0.0031,0.0031,,,,11.849,0.0028,0.0028,0.0974,0.0016,0.0016,0.4,0.08,0.08,,,,0.002224,2011,2011-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20003,46.9083333,-72.3219444,8.37,,,,,43.8,1.5,1.5,,,,,,,,,,G8V,,,,,,,,,
HD 20003 c,Confirmed,,,,0.0422,0.004,0.004,,,,33.823,0.0654,0.0654,0.1961,0.0032,0.0032,0.16,0.09,0.09,,,,0.004477,2011,2011-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20003,46.9083333,-72.3219444,8.37,,,,,43.8,1.5,1.5,,,,,,,,,,G8V,,,,,,,,,
HD 200964 b,Confirmed,,,,1.85,0.08,0.14,,,,613.8,1.4,1.3,1.601,0.002,0.002,0.04,0.02,0.04,,,,0.023406,2010,2014-05-26,288.0,111.9,47.0,2454900.0,89.3,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 200964,316.6666667,3.8030556,6.64,,,,,68.4,4.8,4.8,-0.15,0.04,0.04,1.44,0.09,0.09,4.3,0.09,0.09,KO,3.0,0.6,0.6,5164.0,44.0,44.0,,,
HD 200964 c,Confirmed,,,,0.895,0.063,0.123,,,,825.0,3.1,5.1,1.95,0.005,0.008,0.181,0.017,0.024,,,,0.028509,2010,2014-05-26,182.6,57.1,67.7,2455000.0,54.6,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 200964,316.6666667,3.8030556,6.64,,,,,68.4,4.8,4.8,-0.15,0.04,0.04,1.44,0.09,0.09,4.3,0.09,0.09,KO,3.0,0.6,0.6,5164.0,44.0,44.0,,,
HD 202206 (AB) c,Confirmed,17.9,1.8,2.9,,,,,,,1260.0,11.0,11.0,2.41,,,0.22,0.03,0.03,7.7,1.1,1.1,0.055028,2004,2018-07-31,280.0,4.0,4.0,2453103.0,452.0,452.0,,,,,,,,,,,,,,,,,,,41.0,1.0,1.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,HD 202206 A,318.7375,-20.7891667,8.08,,,,,45.54,0.25,0.25,0.37,0.07,0.07,1.13,,,1.02,,,G8 V,2.04,,,5750.0,75.0,75.0,IR Excess,,
HD 202432 b,Confirmed,,,,1.9,0.4,0.4,,,,418.8,2.9,2.9,1.2,0.1,0.1,0.21,0.16,0.16,,,,,2018,2018-08-15,61.24,21.76,21.76,2454908.0,26.0,26.0,,,,,,,,,,,,,,,,,,,43.0,3.0,3.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 202432,317.918389235,70.4411433399,7.0,,,,,161.0,6.0,6.0,0.16,0.1,0.1,1.2,0.2,0.2,11.1,0.3,0.3,K2 D,6.1,2.6,2.6,4549.0,30.0,30.0,,,
HD 202696 b,Confirmed,,,,1.991,0.011,0.174,,,,528.2,12.5,1.8,1.587,0.025,0.004,0.026,0.006,0.1,,,,,2018,2019-01-09,289.7,91.8,35.1,,,,,,,,,,,,,,,,,,,,,,32.5,1.6,3.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 202696,319.225000018,27.258055567,8.23,,,,,188.5,1.6,1.6,0.02,0.04,0.04,1.91,0.14,0.09,6.01,0.19,0.33,KOIII,1.32,0.25,0.35,5040.0,85.0,71.0,,,
HD 202696 c,Confirmed,,,,1.917,0.212,0.116,,,,958.0,26.4,2.2,2.36,0.04,0.003,0.265,0.23,0.05,,,,,2018,2019-01-09,140.0,44.9,88.7,,,,,,,,,,,,,,,,,,,,,,26.6,3.5,1.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 202696,319.225000018,27.258055567,8.23,,,,,188.5,1.6,1.6,0.02,0.04,0.04,1.91,0.14,0.09,6.01,0.19,0.33,KOIII,1.32,0.25,0.35,5040.0,85.0,71.0,,,
HD 202772 A b,Confirmed,1.008,0.079,0.074,,,,1.562,0.069,0.053,3.30896,8.2e-05,8.2e-05,0.0519,0.0012,0.00075,0.047,0.033,0.05,84.2,0.86,1.1,,2018,2018-10-05,88.0,120.0,34.0,,,,2458328.68358,0.00035,0.00035,2458330.33,0.051,0.043,,,,,,,0.416,0.078,0.055,,,,96.9,6.0,6.1,2132.0,33.0,37.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 202772 A,319.700000016,-26.616388914,8.32,,,,,147.2,2.4,2.5,0.29,0.24,0.13,1.703,0.12,0.075,2.614,0.11,0.08,,1.8,0.3,0.43,6230.0,98.0,100.0,,,TIC 290131778
HD 203030 b,Confirmed,11.0,4.0,4.0,,,,,,,,,,487.0,,,,,,,,,,2017,2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,"V457 Vul b, HIP 105232 b",H2O,HD 203030,319.7416667,26.2305556,8.43,,,,,41.0,1.2,1.2,,,,0.97,,,,,,G8V,0.25,0.07,0.07,,,,,,
HD 203473 b,Confirmed,,,,7.84,1.15,1.15,,,,1552.9,3.4,3.4,2.73,0.17,0.17,0.289,0.01,0.01,,,,,2018,2018-09-18,18.0,1.1,1.1,2463333.6,9.1,9.1,,,,,,,,,,,,,,,,,,,133.6,2.4,2.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 203473,320.578642082,5.0235879517,8.23,,,,,,,,0.19,,,1.12,0.21,0.21,1.33,0.1,0.1,G5,5.22,0.98,0.98,5780.0,,,,,
HD 20367 b,Confirmed,,,,1.07,,,,,,500.0,6.0,6.0,1.25,,,0.23,0.1,0.1,,,,0.046296,2002,2010-12-15,83.0,26.0,26.0,,,,,,,,,,,,,,,,,,,51786.0,32.0,32.0,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20367,49.4166667,31.1269444,6.41,,,,,27.0,,,0.1,,,1.04,0.06,0.06,1.18,0.32,0.32,G0,0.87,,,6128.0,33.0,33.0,,,
HD 2039 b,Confirmed,,,,6.11,0.82,0.82,,,,1120.0,23.0,23.0,2.23,0.13,0.13,0.67,0.1,0.1,,,,0.024499,2002,2016-01-19,344.1,3.6,3.6,2452041.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 2039,6.0833333,-56.65,9.01,,,,,89.8,,,0.1,0.16,0.16,0.98,0.05,0.05,1.21,,,G2/G3 IV-V,5.28,,,5947.0,39.0,39.0,,,
HD 204313 b,Confirmed,,,,4.28,0.3,0.3,,,,2024.1,3.1,3.1,3.167,0.12,0.12,0.0946,0.0032,0.0032,,,,0.064176,2009,2015-10-26,292.5,2.7,2.7,2452111.6,28.0,28.0,,,,,,,,,,,,,,,,,,,68.45,0.3,0.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767.0,17.0,17.0,,,
HD 204313 c,Confirmed,,,,0.0553,0.0053,0.0053,,,,34.905,0.012,0.012,0.2099,0.0071,0.0071,0.155,0.071,0.071,,,,0.00444,2011,2019-06-13,238.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,3.42,0.22,0.22,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767.0,17.0,17.0,,,
HD 204313 d,Confirmed,,,,1.68,0.3,0.3,,,,2831.6,150.0,150.0,3.93,0.14,0.14,0.28,0.09,0.09,,,,0.082964,2012,2012-05-21,247.0,16.0,16.0,2456376.9,176.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767.0,17.0,17.0,,,
HD 204941 b,Confirmed,,,,0.266,0.032,0.032,,,,1733.0,74.0,74.0,2.56,0.08,0.08,0.37,0.08,0.08,,,,0.094815,2011,2011-08-01,228.0,18.0,18.0,2456015.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 204941,323.1,-20.9575,8.45,,,,,27.0,1.0,1.0,-0.19,0.03,0.03,0.74,,,0.72,,,,6.67,0.77,0.77,5056.0,52.0,52.0,,,
HD 205521 b,Confirmed,,,,26.62,1.64,1.64,,,,2032.32,2.42,2.42,3.26,0.15,0.15,0.17,0.01,0.01,,,,,2021,2021-05-21,220.21,3.05,3.05,2458468.68,13.29,13.29,,,,,,,,,,,,,,,,,,,406.91,5.82,5.82,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 205521,321.745833353,1.742500022,8.0,,,,,47.73,0.4,0.4,,,,,,,,,,G5,,,,,,,,,
HD 205739 b,Confirmed,,,,1.37,0.09,0.07,,,,279.8,0.1,0.1,0.896,0.015,0.015,0.27,0.07,0.07,,,,0.009922,2008,2008-09-07,301.0,8.0,8.0,3390.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 205739,324.5333333,-31.7375,8.56,,7.59,7.35,7.23,90.3,,,0.19,0.04,0.04,1.22,0.06,0.06,1.33,0.1,0.1,F7V,2.84,0.92,0.92,6176.0,30.0,30.0,,,
HD 206255 b,Confirmed,,,,0.1076,0.0223,0.0223,,,,96.045,0.317,0.317,0.461,0.009,0.009,0.23,0.11,0.11,,,,,2019,2019-04-19,86.92,44.9,44.9,,,,,,,,,,,,,,,,,,,,,,3.92,0.8,0.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 206255,325.59,-50.09,,,,,,75.41,0.18,0.18,,,,1.42,0.08,0.08,,,,G5IV/V,,,,5635.0,99.0,82.0,,,
HD 206610 b,Confirmed,,,,2.2,0.1,0.1,,,,610.0,13.0,13.0,1.68,0.05,0.05,0.229,0.058,0.058,,,,0.00866,2010,2010-03-18,296.0,10.0,10.0,2454677.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 206610,325.8541667,-7.4083333,8.34,,,,,194.0,36.0,36.0,0.14,0.03,0.03,1.56,0.11,0.11,6.1,0.1,0.1,K0,3.0,1.0,1.0,4874.0,44.0,44.0,,,
HD 206893 b,Confirmed,17.5,12.5,12.5,,,,1.65,0.65,0.65,9807.0,2140.0,2140.0,9.85,2.2,2.2,0.21,0.15,0.15,154.0,9.0,12.0,,2016,2021-06-14,95.0,44.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 206893,326.341666674,-12.783333349,6.67,,,,,38.34,0.8,0.8,,,,1.24,,,,,,F5V,1.1,1.0,1.0,6486.0,,,,,
HD 20781 b,Confirmed,,,,0.0379,0.0035,0.0035,,,,29.15,0.0201,0.0201,0.169,0.0028,0.0028,0.11,0.06,0.06,,,,0.004774,2011,2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
HD 20781 c,Confirmed,,,,0.0496,0.0038,0.0038,,,,85.131,0.1161,0.1161,0.3456,0.0047,0.0047,0.28,0.09,0.09,,,,0.009763,2011,2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
HD 20781 d,Confirmed,,,,0.0334,0.0037,0.0038,,,,29.158,0.01,0.0102,0.1647,0.0083,0.0076,0.11,0.06,0.05,,,,,2019,2021-08-17,60.99,30.03,30.79,2455511.3258,2.4382,2.4394,,,,,,,,,,,,,,,,,,,2.82,0.16,0.17,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"2MASS J03200291-2847016 d, CD-29 1229 d, CPD-29 381 d, HD 20782 B d, HIP 15526 d, SAO 168468 d, TYC 6445-00983-1 d, WISE J032003.21-284702.4 d",,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
HD 20781 e,Confirmed,,,,0.0442,0.0049,0.0049,,,,85.5073,0.0947,0.0983,0.3374,0.017,0.0155,0.06,0.04,0.06,,,,,2019,2021-08-17,70.59,67.58,61.4,2455513.3912,16.009,14.3623,,,,,,,,,,,,,,,,,,,2.6,0.14,0.14,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"2MASS J03200291-2847016 e, CD-29 1229 e, CPD-29 381 e, HD 20782 B e, HIP 15526 e, SAO 168468 e, TYC 6445-00983-1 e, WISE J032003.21-284702.4 e",,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
HD 20782 b,Confirmed,,,,1.9,0.5,0.5,,,,591.9,2.8,2.8,1.381,0.005,0.005,0.97,0.01,0.01,,,,0.03834,2006,2016-01-19,147.7,6.5,6.5,2451175.9,8.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20782,50.0125,-28.8538889,7.38,,,,,36.02,1.0,1.0,-0.05,0.03,0.03,1.0,0.03,0.03,,,,G2 V,7.1,4.3,4.3,5578.0,30.0,30.0,,,
HD 207832 A b,Confirmed,,,,0.56,0.03,0.06,,,,161.97,0.78,0.97,0.57,0.002,0.002,0.13,0.05,0.18,,,,,2012,2019-12-13,130.8,83.4,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 207832 b,,HD 207832 A,328.15,-26.0267,8.7986,,,,,54.4,2.7,2.7,0.06,,,0.94,0.1,0.1,0.901,0.056,0.056,G5V,4.5,4.5,0.0,5710.0,81.0,81.0,,,HD 207832
HD 207832 A c,Confirmed,,,,0.73,0.05,0.18,,,,1155.7,37.0,71.9,2.112,0.045,0.087,0.27,0.1,0.22,,,,,2012,2019-12-13,121.6,76.5,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 207832 c,,HD 207832 A,328.15,-26.0267,8.7986,,,,,54.4,2.7,2.7,0.06,,,0.94,0.1,0.1,0.901,0.056,0.056,G5V,4.5,4.5,0.0,5710.0,81.0,81.0,,,HD 207832
HD 207897 b,Confirmed,0.05,0.005,0.005,,,,0.22348,0.0071,0.0071,16.202157,8.5e-05,8.5e-05,0.1164,0.0017,0.0017,0.047,0.033,0.053,88.755,0.0067,0.0067,,2021,2021-10-19,235.0,95.0,68.0,,,,,,,,,,,,,,,,0.712,0.04,0.04,,,,4.65,0.46,0.46,632.3,7.0,8.2,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1611 b,,HD 207897,325.187500015,84.333611118,8.4,,,,,28.25,0.03,0.03,-0.04,0.04,0.04,0.801,0.031,0.026,0.779,0.019,0.019,K0V,7.1,4.5,4.5,5071.0,59.0,59.0,,,TOI-1611
HD 20794 b,Confirmed,,,,0.00887,0.0025,0.00031,,,,18.32,0.005,0.005,0.127,0.001,0.001,0.11,0.1,0.1,,,,0.019917,2011,2019-02-12,26.0,5.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.71,0.07,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,82 Eri b,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,
HD 20794 d,Confirmed,,,,0.0111,0.00318,0.0018,,,,89.76,0.12,0.12,0.364,0.004,0.004,0.29,0.11,0.11,,,,0.057739,2011,2019-02-13,252.0,44.0,48.0,,,,,,,,,,,,,,,,,,,,,,0.57,0.07,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,82 Eri d,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,
HD 20794 e,Confirmed,,,,0.015,0.0027,0.003,,,,147.02,0.91,1.43,0.509,0.006,0.006,0.29,0.17,0.14,,,,,2017,2017-06-25,268.0,32.0,47.0,,,,,,,,,,,,,,,,,,,,,,0.69,0.13,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,82 Eri e,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,
HD 208487 b,Confirmed,,,,0.413,0.05,0.05,,,,129.8,0.4,0.4,0.51,0.02,0.02,0.21,0.09,0.09,,,,0.011333,2004,2010-12-23,123.0,40.0,40.0,51008.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45.0,,,-0.06,0.05,0.05,1.3,,,1.15,,,G2V,3.88,,,5929.0,,,,,
HD 208487 c,Confirmed,0.46,0.1,0.1,,,,,,,908.0,90.0,90.0,1.8,0.1,0.1,0.19,0.1,0.1,,,,0.04,2006,2021-10-04,227.0,50.0,50.0,10605.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Default,,,,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45.0,,,-0.06,0.05,0.05,1.3,,,1.15,,,G2V,3.88,,,5929.0,,,,,
HD 208527 b,Confirmed,,,,9.9,1.7,1.7,,,,875.5,5.8,5.8,2.1,0.2,0.2,0.08,0.04,0.04,,,,,2012,2012-11-12,278.0,19.5,19.5,2450745.3,45.7,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 208527,329.1,21.24,6.4,,,,,320.2,61.1,61.1,-0.09,0.16,0.16,1.6,0.4,0.4,51.1,8.3,8.3,M1III,2.0,1.3,1.3,4035.0,65.0,65.0,,,
HD 20868 b,Confirmed,,,,1.99,0.05,0.05,,,,380.85,0.09,0.09,0.947,0.012,0.012,0.75,0.002,0.002,,,,0.019366,2008,2014-08-27,356.2,0.4,0.4,2454451.52,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20868,50.1791667,-33.73,9.92,,,,,48.9,3.5,3.5,0.04,0.1,0.1,0.78,0.03,0.03,0.79,,,K3/4IV,4.5,4.0,4.0,4795.0,12.4,12.4,,,
HD 208897 b,Confirmed,,,,1.4,0.08,0.08,,,,352.7,1.7,1.7,1.05,0.03,0.03,0.07,0.06,0.06,,,,,2017,2017-08-09,167.0,83.0,83.0,2455036.0,82.0,82.0,,,,,,,,,,,,,,,,,,,34.7,2.2,2.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 208897,329.748714103,19.0203037532,6.51,,,,,64.68,,,0.21,0.15,0.15,1.25,0.11,0.11,4.98,0.2,0.2,K0,,,,4860.0,100.0,100.0,,,HIP 108513
HD 209458 b,Confirmed,0.69,0.017,0.017,,0.017,0.017,1.38,0.018,0.018,3.52472,2.82e-05,2.82e-05,0.04747,0.00055,0.00055,0.0082,0.0082,0.0078,86.59,0.046,0.046,0.00101,1999,2021-12-24,43.8,68.0,68.0,2452968.399,,,,,,2453344.76824,0.000617,0.000617,,,,,,,,,,,0.021,0.021,84.3,0.88,0.88,,,,,,0.038,0.045,0.045,,Published in a refereed paper,Primary Transit,,Primary Transit,,"C, C2H2, CH4, CO, CO2, Ca, Fe, H, H2, H2O, HCN, He, K, Mg, Mn, NH3, Na, O I, O2, Sc, TiO, V, VO",HD 209458,330.7916667,18.8844444,7.65,,,,,47.0,,,0.02,0.05,0.05,1.148,0.022,0.022,1.203,0.061,0.061,G0 V,4.0,2.0,2.0,6092.0,103.0,103.0,,,
HD 210193 b,Confirmed,,,,0.4817,0.0733,0.0733,,,,649.918,8.6,8.6,1.487,0.031,0.031,0.24,0.09,0.09,,,,,2019,2019-04-26,168.84,28.7,28.7,,,,,,,,,,,,,,,,,,,,,,11.4,1.56,1.56,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 210193,332.4,-41.23,,,,,,42.25,0.08,0.08,,,,1.04,0.06,0.06,,,,G3V,,,,5790.0,50.0,38.0,,,
HD 210277 b,Confirmed,,,,1.23,0.03,0.03,,,,442.1,0.4,0.4,1.1,0.02,0.02,0.472,0.011,0.011,,,,0.051667,1998,2006-09-05,118.2,1.9,1.9,50988.2,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 210277,332.3708333,-7.5422222,6.63,,,,,21.29,0.36,0.36,0.19,0.04,0.04,1.09,,,1.1,0.05,0.05,G0,6.93,,,5532.0,14.0,14.0,IR Excess,,
